,NAM_C1,NAM_C2,P.value
PLEC,20,33,0.0579356783654624
SPATA31D1,25,28,0.663055920027451
TENM1,27,26,1
CDH12,21,31,0.142041834588925
CDH9,27,25,0.884715305820397
COL3A1,22,30,0.240635082955068
DOCK2,20,32,0.0777206130336874
LPPR4,25,27,0.769626474186122
MYH7,26,26,1
NCKAP5,26,26,1
SLITRK2,24,28,0.557928937394744
UNC79,20,32,0.0777206130336874
ZNF831,24,28,0.557928937394744
ADAMTS20,26,25,1
CRB1,21,30,0.182815139229232
FAT1,29,22,0.379652114649127
MUC5B,23,28,0.459980933214713
SVEP1,24,27,0.657676346046004
TRPS1,24,27,0.657676346046004
COL22A1,21,29,0.232482977394061
GRIN2B,23,27,0.551085870908912
LAMA1,26,24,0.882670975911557
PTPRT,26,24,0.882670975911557
COL5A2,19,30,0.0970041841711926
DNAH11,17,32,0.0231667470662939
DNAH3,24,25,0.880527980037795
MRC1,23,26,0.651981127864605
SETBP1,23,26,0.651981127864605
TAF1L,23,26,0.651981127864605
TIAM1,24,25,0.880527980037795
HCN1,20,28,0.22402483887185
SLC8A1,28,20,0.291836999475327
SPHKAP,18,30,0.0674451785855072
ZNF521,19,29,0.128090173478921
ZNF804B,22,26,0.543853558582432
ADGRV1,23,24,0.878323096552505
FAM47C,26,21,0.543539924275747
GPR158,21,26,0.443618005500971
GRIN2A,23,24,0.878323096552505
KIAA1109,22,25,0.645939805639945
LYST,22,25,0.645939805639945
TENM3,22,25,0.645939805639945
TPTE,22,25,0.645939805639945
ZFPM2,28,19,0.223598771909857
HECW1,21,25,0.536195828570814
KIF2B,26,20,0.443029573793662
LTBP1,21,25,0.536195828570814
MACF1,21,25,0.536195828570814
RGPD4,20,26,0.353137028032059
SPATA31A6,23,23,1
THSD7A,25,21,0.645530206654678
CTNND2,18,27,0.158865941940546
DCDC1,17,28,0.0845998461817757
DNAH7,22,23,0.87597117319609
FAM47A,21,24,0.639517639782423
FMN2,20,25,0.434753164239717
LRRIQ1,23,22,1
MGA,26,19,0.352254934512947
NOTCH4,23,22,1
PCDH17,15,30,0.0182139662228408
PTPRZ1,21,24,0.639517639782423
DCAF4L2,19,25,0.343555787415547
DCHS2,22,22,1
SPEF2,23,21,0.87569555358097
TEX15,27,17,0.157817013675658
UNC13C,17,27,0.113516966250354
EPHA6,21,22,0.873455833825673
FAM47B,22,21,1
HEPH,22,21,1
KCNT2,17,26,0.15039910570704
LPA,20,23,0.632674807837225
NBAS,16,27,0.078299635647165
NLRP14,22,21,1
OTOGL,25,18,0.342151183374128
PPP1R3A,19,24,0.425378210966084
SORCS3,17,26,0.15039910570704
TENM2,22,21,1
ABCB5,22,20,0.873035421313466
BIRC6,20,22,0.747494212343148
CACNA1C,21,21,1
CDH18,15,27,0.0519647217256025
CDH7,12,30,0.00328870624474205
COL19A1,19,23,0.519434241815564
F8,15,27,0.0519647217256025
FLNC,15,27,0.0519647217256025
GRID2,24,18,0.42378474456612
ITGA8,20,22,0.747494212343148
KDR,22,20,0.873035421313466
LRFN5,25,17,0.262276859161847
LRRTM4,20,22,0.747494212343148
MAGEC1,16,26,0.106011494654417
MGAM,19,23,0.519434241815564
MMRN1,18,24,0.333468970718592
MROH2B,17,25,0.196674038653837
NLGN4X,23,19,0.631524606967634
PKD1L1,23,19,0.631524606967634
PLXNA4,25,17,0.262276859161847
SALL1,17,25,0.196674038653837
SLITRK1,23,19,0.631524606967634
SLITRK3,20,22,0.747494212343148
SMARCA4,17,25,0.196674038653837
THSD7B,16,26,0.106011494654417
TRPA1,18,24,0.333468970718592
ASTN2,18,23,0.415445741599423
BOD1L1,22,19,0.746529756656125
COL14A1,18,23,0.415445741599423
KLHL1,16,25,0.141686949323929
KMT2C,22,19,0.746529756656125
MYH13,21,20,1
PRKDC,19,22,0.625365409563174
ROBO2,20,21,0.870758029767519
WDFY3,18,23,0.415445741599423
ZAN,22,19,0.746529756656125
ZP4,20,21,0.870758029767519
ADAMTSL3,19,21,0.742113898758148
ATM,13,27,0.0200777325693493
ATRNL1,19,21,0.742113898758148
CNTNAP4,22,18,0.623776487964295
DSCAM,12,28,0.00769524638660542
EYS,21,19,0.870173777799479
FAT2,16,24,0.186852040582617
FER1L6,21,19,0.870173777799479
GRM5,20,20,1
LAMB4,18,22,0.510230061880982
MMP16,19,21,0.742113898758148
MYH4,20,20,1
MYO18B,19,21,0.742113898758148
SLIT2,20,20,1
SPATA31A1,17,23,0.322835414953507
TMPRSS15,20,20,1
TMTC1,15,25,0.0983732924931538
UBR4,23,17,0.413270621568535
ZNF208,18,22,0.510230061880982
BRAF,20,19,1
CDH8,17,22,0.404902125905495
CHL1,20,19,1
DUSP27,14,25,0.0655827105608217
EPHA3,17,22,0.404902125905495
ERBB4,18,21,0.617536223745553
FCGBP,18,21,0.617536223745553
HUWE1,21,18,0.740815200636007
ITGAX,16,23,0.243029408155038
MAP2,18,21,0.617536223745553
NRXN3,18,21,0.617536223745553
RP1,22,17,0.507998261446627
SLC39A12,18,21,0.617536223745553
SLITRK4,23,16,0.320237967811393
ADAMTS16,14,24,0.0906170273536738
GRM8,11,27,0.00631245762757799
KCNB2,16,22,0.311609604106356
LRRC4C,17,21,0.500397449638313
NTRK3,19,19,1
OVCH1,17,21,0.500397449638313
POM121L12,18,20,0.736325617786625
PTCHD2,14,24,0.0906170273536738
SCN10A,21,17,0.615452233380187
ZDBF2,14,24,0.0906170273536738
ZNF479,21,17,0.615452233380187
ABCB1,18,19,0.864721779933095
CACNA2D1,19,18,1
KCNU1,16,21,0.393686466732127
NRCAM,17,20,0.609125140241675
OR4A15,17,20,0.609125140241675
OTOF,20,17,0.734646568330302
PLCB1,13,24,0.0592096330763258
ACTN2,23,13,0.120611063192245
ADAMTS2,17,19,0.730076980413484
CDH23,17,19,0.730076980413484
COL4A5,18,18,1
MYT1L,15,21,0.299741208777777
NBEA,17,19,0.730076980413484
NELL1,16,20,0.489865026255419
NLRP5,12,24,0.0368490010231011
PTPRB,14,22,0.16607498405047
RBM10,22,14,0.22825499568058
SCN3A,19,17,0.863737426980426
ST6GAL2,17,19,0.730076980413484
ABCA12,17,18,0.861325700024327
ANK1,16,19,0.600059162287405
ANK3,16,19,0.600059162287405
CENPF,16,19,0.600059162287405
CFAP47,14,21,0.220042021808233
DGKB,19,16,0.72796233068602
DMBT1,15,20,0.381729356463908
EPHB6,15,20,0.381729356463908
FSTL5,20,15,0.486295806417863
GRM7,19,16,0.72796233068602
IGSF1,20,15,0.486295806417863
INSRR,16,19,0.600059162287405
L1CAM,16,19,0.600059162287405
LCT,14,21,0.220042021808233
LRP1,16,19,0.600059162287405
MYH6,14,21,0.220042021808233
MYO3A,14,21,0.220042021808233
NID1,14,21,0.220042021808233
OR2W3,18,17,1
OR4C15,16,19,0.600059162287405
PCDHB8,11,24,0.0217205866896643
SACS,16,19,0.600059162287405
SPEG,21,14,0.29571081903006
TRPC4,17,18,0.861325700024327
TRRAP,17,18,0.861325700024327
VPS13C,13,22,0.114110361225401
ADCY2,16,18,0.723305675805378
ADCY8,15,19,0.478549654841679
ADGRL2,18,16,0.860094912924239
AKAP6,17,17,1
BRWD3,11,23,0.0320146377550498
CCDC178,17,17,1
CLCN1,17,17,1
CNTN5,16,18,0.723305675805378
F5,14,20,0.287174628168613
HGF,14,20,0.287174628168613
KCNH8,18,16,0.860094912924239
KIAA1211,16,18,0.723305675805378
PDGFRA,21,13,0.215767883107983
SEMA5A,15,19,0.478549654841679
SRCAP,11,23,0.0320146377550498
STAB2,18,16,0.860094912924239
TCHH,12,22,0.074835196087133
TLL1,16,18,0.723305675805378
ZNF423,14,20,0.287174628168613
COL1A2,16,17,0.857629625046252
CPED1,17,16,1
DCHS1,14,19,0.368951390784069
DIDO1,11,22,0.0465824139228408
DSG3,17,16,1
FRMPD4,17,16,1
HDAC9,17,16,1
KCNH5,18,15,0.720688628798367
KIAA1549L,10,23,0.0182609516045942
MED12,13,20,0.207700091385915
MYCBP2,16,17,0.857629625046252
PCDH18,11,22,0.0465824139228408
PCDHB7,16,17,0.857629625046252
PCDHGA2,14,19,0.368951390784069
PCDHGA3,13,20,0.207700091385915
SEMA6D,13,20,0.207700091385915
THBS2,17,16,1
TRPM6,22,11,0.0717781414210997
ACAN,10,22,0.0273409851456084
CFH,17,15,0.856112323926432
COL6A6,12,20,0.14373105634609
COL7A1,14,18,0.466353870256958
DCAF12L1,14,18,0.466353870256958
DLGAP2,12,20,0.14373105634609
DYSF,15,17,0.715936920197383
EPHB1,14,18,0.466353870256958
FAM83B,14,18,0.466353870256958
GABRA4,20,12,0.202648338324341
GRM1,16,16,1
KMT2D,18,14,0.586227305032528
MUC5AC,12,20,0.14373105634609
MYO16,15,17,0.715936920197383
NLRP12,12,20,0.14373105634609
OR5L1,13,19,0.273848578522934
PCDHA2,15,17,0.715936920197383
PTPRC,16,16,1
SCN2A,13,19,0.273848578522934
SETD2,25,7,0.0015839041811237
SIPA1L2,13,19,0.273848578522934
TSHZ2,20,12,0.202648338324341
UNC5D,11,21,0.0668692256856568
VPS13B,13,19,0.273848578522934
ZEB1,10,22,0.0273409851456084
ZEB2,17,15,0.856112323926432
AKAP9,21,10,0.0634540217819328
ALMS1,12,19,0.194750134668612
AMER3,12,19,0.194750134668612
CCDC129,16,15,1
COL4A1,12,19,0.194750134668612
COL5A1,14,17,0.579599880079795
CUX2,11,20,0.0946403178622789
DNAH10,12,19,0.194750134668612
DOCK10,12,19,0.194750134668612
FLNA,9,22,0.0150126765385895
FRAS1,17,14,0.712735907639045
FRMPD1,17,14,0.712735907639045
GLI3,15,16,0.853587978732159
GRIK2,15,16,0.853587978732159
GRIN3A,12,19,0.194750134668612
KALRN,13,18,0.355261395856764
KIF21B,16,15,1
MKI67,16,15,1
MYO7B,16,15,1
OR2L8,15,16,0.853587978732159
OR6F1,19,12,0.268080657302488
PDZRN3,17,14,0.712735907639045
SAGE1,16,15,1
SAMD9L,14,17,0.579599880079795
SATB2,14,17,0.579599880079795
SCN5A,13,18,0.355261395856764
TRHDE,15,16,0.853587978732159
USP29,12,19,0.194750134668612
ABCA10,11,19,0.13196708690074
ABCC11,18,12,0.34900862401357
ADGRL4,15,15,1
BCHE,18,12,0.34900862401357
BCORL1,18,12,0.34900862401357
DCAF12L2,8,22,0.00763798449061431
DMXL1,13,17,0.453162603702307
FBXL7,14,16,0.70788005595806
FSCB,15,15,1
KCNH1,8,22,0.00763798449061431
KMT2A,15,15,1
MDGA2,13,17,0.453162603702307
MYOM2,16,14,0.851734662007249
NID2,16,14,0.851734662007249
OR2G2,14,16,0.70788005595806
PCDHB12,11,19,0.13196708690074
PKD1L2,14,16,0.70788005595806
PLCB4,13,17,0.453162603702307
RB1,12,18,0.259695807985131
ROR2,15,15,1
SDK1,14,16,0.70788005595806
SEZ6L,16,14,0.851734662007249
SLITRK6,14,16,0.70788005595806
UTRN,15,15,1
XYLT1,14,16,0.70788005595806
ADAMTS5,10,19,0.0846531556768936
ANKRD30B,17,12,0.446817573941987
ASH1L,15,14,1
ATRX,16,13,0.703994354476364
CACNA1B,14,15,0.849144874444057
CD163,7,22,0.00355776068790036
CHD6,10,19,0.0846531556768936
CHRM2,16,13,0.703994354476364
CNTN3,12,17,0.34055432559496
COL4A2,15,14,1
DCC,12,17,0.34055432559496
DSCAML1,14,15,0.849144874444057
FCRL5,13,16,0.567978782032174
FHOD3,16,13,0.703994354476364
IGSF10,12,17,0.34055432559496
ITGA4,12,17,0.34055432559496
ITGAD,11,18,0.181162096300862
KIAA1210,14,15,0.849144874444057
KIAA2022,10,19,0.0846531556768936
NDST4,11,18,0.181162096300862
NLRP10,17,12,0.446817573941987
OGDHL,11,18,0.181162096300862
OR2M5,15,14,1
OR4A16,11,18,0.181162096300862
OR4C6,14,15,0.849144874444057
OR4Q3,16,13,0.703994354476364
PCDHA3,16,13,0.703994354476364
POLQ,16,13,0.703994354476364
POSTN,19,10,0.126375694416858
RIMBP2,11,18,0.181162096300862
SHANK1,10,19,0.0846531556768936
TMEM132D,12,17,0.34055432559496
TRO,12,17,0.34055432559496
UBR5,10,19,0.0846531556768936
VPS13D,18,11,0.252920324351297
ANO4,11,17,0.244643079869094
BDP1,16,12,0.562103716940156
CDH6,13,15,0.699023944836387
CMYA5,15,13,0.846893631625706
DYNC2H1,10,18,0.119821286991504
FREM2,13,15,0.699023944836387
GABRA2,11,17,0.244643079869094
GABRG1,14,14,1
HFM1,10,18,0.119821286991504
HIVEP3,12,16,0.438838969916917
KLHL4,12,16,0.438838969916917
LAMA4,11,17,0.244643079869094
LTBP2,11,17,0.244643079869094
MYPN,13,15,0.699023944836387
NAV2,14,14,1
NLRP13,16,12,0.562103716940156
OR11H1,13,15,0.699023944836387
OR2L13,9,19,0.0510063333756089
OR2M3,14,14,1
OR4A5,9,19,0.0510063333756089
OR4C16,13,15,0.699023944836387
PAK7,15,13,0.846893631625706
PCDHA1,12,16,0.438838969916917
PCDHA5,13,15,0.699023944836387
PCDHB16,18,10,0.174375381633369
PCDHB2,14,14,1
PCDHB4,14,14,1
PDE10A,11,17,0.244643079869094
PREX1,11,17,0.244643079869094
REG3A,10,18,0.119821286991504
RGS7,7,21,0.00578149717685837
SGIP1,12,16,0.438838969916917
SMG1,15,13,0.846893631625706
SPAG17,12,16,0.438838969916917
TMEM132B,13,15,0.699023944836387
TRIM51,13,15,0.699023944836387
ZNF716,13,15,0.699023944836387
ZSWIM2,13,15,0.699023944836387
ADAM19,12,15,0.555236824450126
ADAMTS18,12,15,0.555236824450126
ADAMTS19,13,14,0.844230912175718
ALPK2,9,18,0.0745576496173409
ARID1A,15,12,0.694327605901304
ATP10B,10,17,0.166910059384776
BRCA2,13,14,0.844230912175718
BRINP2,12,15,0.555236824450126
CACNA1F,14,13,1
CAMTA1,11,16,0.324708797420289
CCDC108,13,14,0.844230912175718
CCNB3,9,18,0.0745576496173409
CDH11,12,15,0.555236824450126
CNTN1,13,14,0.844230912175718
COL15A1,12,15,0.555236824450126
COL24A1,10,17,0.166910059384776
COL4A6,11,16,0.324708797420289
CR1,8,19,0.0285944691355394
DGKI,13,14,0.844230912175718
DPP6,11,16,0.324708797420289
DYNC1H1,14,13,1
EGFLAM,7,20,0.0092876056265772
EPHA7,12,15,0.555236824450126
F13A1,18,9,0.113524860075816
FAM71B,14,13,1
FANCM,10,17,0.166910059384776
FZD10,9,18,0.0745576496173409
GLI2,15,12,0.694327605901304
HECTD4,10,17,0.166910059384776
IL1RAPL1,9,18,0.0745576496173409
ITIH6,11,16,0.324708797420289
ITPR2,15,12,0.694327605901304
KCNH7,10,17,0.166910059384776
KIF4B,10,17,0.166910059384776
LAMB1,14,13,1
LRRIQ3,13,14,0.844230912175718
MAGI2,15,12,0.694327605901304
MED12L,13,14,0.844230912175718
MTUS2,10,17,0.166910059384776
MYH3,15,12,0.694327605901304
NLRP4,12,15,0.555236824450126
NRG3,16,11,0.431275118122646
OR2M4,10,17,0.166910059384776
OR2T4,8,19,0.0285944691355394
OR4C46,14,13,1
OR5D13,11,16,0.324708797420289
OR5F1,12,15,0.555236824450126
PCDHB14,13,14,0.844230912175718
PCDHB3,13,14,0.844230912175718
PCDHGA5,15,12,0.694327605901304
PTCHD4,11,16,0.324708797420289
SAMD9,14,13,1
SCN11A,16,11,0.431275118122646
SCN7A,11,16,0.324708797420289
SELP,11,16,0.324708797420289
SLC17A6,10,17,0.166910059384776
TBX22,12,15,0.555236824450126
TRIML1,11,16,0.324708797420289
TRPM1,14,13,1
UBA6,14,13,1
WDR49,13,14,0.844230912175718
ZIC1,15,12,0.694327605901304
ABCA9,12,14,0.689230615523516
ADAMTSL1,12,14,0.689230615523516
AGMO,13,13,1
ALK,13,13,1
AMER1,11,15,0.423218797555685
ARID2,14,12,0.841503203059935
ATP2B3,7,19,0.0147393286229889
BPTF,16,10,0.316002494618685
BSN,14,12,0.841503203059935
C7,11,15,0.423218797555685
CHD5,10,16,0.22861167463721
CMTR2,12,14,0.689230615523516
COL21A1,8,18,0.043234803111199
COL25A1,10,16,0.22861167463721
DACH2,11,15,0.423218797555685
DNAH17,11,15,0.423218797555685
DZIP3,9,17,0.107319015810522
EPB41L3,11,15,0.423218797555685
FNDC1,14,12,0.841503203059935
FOLH1,10,16,0.22861167463721
FRYL,10,16,0.22861167463721
FSHR,16,10,0.316002494618685
FSIP2,15,11,0.548187334913161
GRID1,17,9,0.159164751143925
IQGAP2,17,9,0.159164751143925
KCNA4,15,11,0.548187334913161
NLGN1,11,15,0.423218797555685
NLRP7,11,15,0.423218797555685
OR2T12,12,14,0.689230615523516
OR5L2,17,9,0.159164751143925
PIK3CG,11,15,0.423218797555685
PLCL1,13,13,1
PLG,12,14,0.689230615523516
PYHIN1,12,14,0.689230615523516
RANBP2,13,13,1
SCN1A,10,16,0.22861167463721
SLC9A4,11,15,0.423218797555685
SLCO5A1,12,14,0.689230615523516
TECTA,8,18,0.043234803111199
TENM4,15,11,0.548187334913161
THOC2,4,22,0.000176853230836102
TMEM200A,11,15,0.423218797555685
TPO,10,16,0.22861167463721
TRIO,11,15,0.423218797555685
TRPC5,11,15,0.423218797555685
ZFYVE26,13,13,1
ABCB11,11,14,0.54118700056555
ABCC9,11,14,0.54118700056555
ADCY10,6,19,0.00688082078006175
ARAP2,13,12,1
ATP8A2,13,12,1
CDH2,10,15,0.307584272026508
CFAP61,10,15,0.307584272026508
DLC1,9,16,0.151975971692578
DLGAP3,14,11,0.683563889442441
DNAH2,15,10,0.414234542435578
DPP10,7,18,0.023090921059078
EXPH5,15,10,0.414234542435578
FRY,10,15,0.307584272026508
GABRG2,11,14,0.54118700056555
GABRG3,8,17,0.0644207664430144
GREB1,8,17,0.0644207664430144
GTF3C1,8,17,0.0644207664430144
GUCY2F,8,17,0.0644207664430144
HIVEP2,13,12,1
IRS4,11,14,0.54118700056555
KIAA1755,11,14,0.54118700056555
KIF1A,14,11,0.683563889442441
LAMA3,10,15,0.307584272026508
MDN1,11,14,0.54118700056555
MEGF10,10,15,0.307584272026508
NES,14,11,0.683563889442441
NFASC,10,15,0.307584272026508
NLRP2,11,14,0.54118700056555
OCA2,14,11,0.683563889442441
OR2G6,8,17,0.0644207664430144
OR2T33,11,14,0.54118700056555
OR2T34,8,17,0.0644207664430144
PARD3B,11,14,0.54118700056555
PCDHA4,10,15,0.307584272026508
PCDHB11,8,17,0.0644207664430144
PCDHB6,12,13,0.838758669779588
PDHA2,9,16,0.151975971692578
PIK3CA,12,13,0.838758669779588
PKD1,15,10,0.414234542435578
PKP2,12,13,0.838758669779588
PROS1,13,12,1
SLC12A5,9,16,0.151975971692578
SLC44A5,10,15,0.307584272026508
SLIT3,10,15,0.307584272026508
ST18,11,14,0.54118700056555
STXBP5L,8,17,0.0644207664430144
TRPV5,12,13,0.838758669779588
USP34,11,14,0.54118700056555
ZBBX,12,13,0.838758669779588
ZIC4,14,11,0.683563889442441
ZNF735,12,13,0.838758669779588
ADAM23,12,12,1
ANKRD17,15,9,0.297385993077839
CACNA1I,10,14,0.406103461767324
CARD11,7,17,0.0356810740433013
CHD8,8,16,0.0945049122774709
CYP11B2,8,16,0.0945049122774709
DGKK,11,13,0.678326326233213
DSG4,8,16,0.0945049122774709
FAM171A1,11,13,0.678326326233213
FRG2C,11,13,0.678326326233213
GFRAL,10,14,0.406103461767324
KCNC2,7,17,0.0356810740433013
KCNK2,13,11,0.835453222510069
LAMA5,10,14,0.406103461767324
LRFN2,9,15,0.211518852286946
NCAN,13,11,0.835453222510069
NETO1,9,15,0.211518852286946
NIPBL,10,14,0.406103461767324
NLRP8,13,11,0.835453222510069
NOS1,12,12,1
OR2T1,10,14,0.406103461767324
OR2T3,9,15,0.211518852286946
OR6K2,8,16,0.0945049122774709
PAPPA,14,10,0.532739455118598
PCDH7,12,12,1
PCDHA6,13,11,0.835453222510069
PCDHB5,12,12,1
PCDHB9,7,17,0.0356810740433013
PCDHGA4,14,10,0.532739455118598
PCDHGA6,11,13,0.678326326233213
PDE3A,11,13,0.678326326233213
PHF3,9,15,0.211518852286946
POLE,11,13,0.678326326233213
POTEF,10,14,0.406103461767324
PTPRN2,9,15,0.211518852286946
RBP3,11,13,0.678326326233213
RGAG1,12,12,1
RUNX1T1,8,16,0.0945049122774709
SEMA3A,14,10,0.532739455118598
SLC8A3,12,12,1
SPATA31A3,7,17,0.0356810740433013
SPATA31E1,10,14,0.406103461767324
SRRM2,15,9,0.297385993077839
TECRL,9,15,0.211518852286946
TEP1,15,9,0.297385993077839
TLN2,12,12,1
TPR,11,13,0.678326326233213
TRIM58,12,12,1
ACSM2B,11,12,0.832616209105071
ACSM5,10,13,0.525595774924553
ACTRT1,9,14,0.289017975370816
ALPK1,13,10,0.671483265173022
ANKS1B,10,13,0.525595774924553
ANO3,12,11,1
APC,10,13,0.525595774924553
ATP2B2,13,10,0.671483265173022
C2CD3,12,11,1
CD163L1,11,12,0.832616209105071
CHD7,4,19,0.00102060915011901
COL9A1,10,13,0.525595774924553
CTTNBP2,11,12,0.832616209105071
CYP11B1,12,11,1
DAB1,9,14,0.289017975370816
DNAH1,10,13,0.525595774924553
FBN1,14,9,0.395449935594822
FBN3,11,12,0.832616209105071
GABRA5,11,12,0.832616209105071
GABRB3,15,8,0.201029900574114
HHIPL2,8,15,0.13635550091459
IGF2R,8,15,0.13635550091459
INHBA,14,9,0.395449935594822
KCNQ2,7,16,0.0543338959489185
KIF21A,10,13,0.525595774924553
LEPR,14,9,0.395449935594822
NTNG1,9,14,0.289017975370816
NUP210,15,8,0.201029900574114
OR10J3,10,13,0.525595774924553
OR14K1,12,11,1
OR2AK2,12,11,1
OR4M1,13,10,0.671483265173022
OR51V1,12,11,1
OR5AS1,10,13,0.525595774924553
OR5D14,11,12,0.832616209105071
OR5J2,13,10,0.671483265173022
OR8U1,9,14,0.289017975370816
PASD1,13,10,0.671483265173022
PDE1C,8,15,0.13635550091459
PIK3C2B,14,9,0.395449935594822
PLCE1,8,15,0.13635550091459
PMFBP1,12,11,1
PREX2,7,16,0.0543338959489185
PRKCB,9,14,0.289017975370816
PRKD1,13,10,0.671483265173022
PSG8,9,14,0.289017975370816
PTCHD3,9,14,0.289017975370816
PZP,8,15,0.13635550091459
RAD51AP2,11,12,0.832616209105071
RAPGEF2,10,13,0.525595774924553
RGS22,7,16,0.0543338959489185
RIF1,12,11,1
ROBO1,10,13,0.525595774924553
SALL3,10,13,0.525595774924553
SEMA3D,10,13,0.525595774924553
SLITRK5,15,8,0.201029900574114
SORL1,13,10,0.671483265173022
SYNPO2,10,13,0.525595774924553
SYT10,10,13,0.525595774924553
TACC2,12,11,1
TAS1R2,10,13,0.525595774924553
TYR,13,10,0.671483265173022
WSCD2,13,10,0.671483265173022
ZFHX3,10,13,0.525595774924553
ZNF318,13,10,0.671483265173022
A2ML1,5,17,0.00805938912859873
ABCA5,7,15,0.0814512271603288
ABCA6,9,13,0.387250411688789
ACSM2A,9,13,0.387250411688789
ADAMTS9,14,8,0.277107305582217
ADCY1,11,11,1
ADNP2,11,11,1
AEBP1,8,14,0.193281060499221
AMPH,10,12,0.666088700391389
ARID1B,10,12,0.666088700391389
ARMC3,12,10,0.828599964438098
ATP10D,12,10,0.828599964438098
ATP7A,9,13,0.387250411688789
BCOR,11,11,1
BMS1,11,11,1
CACNA1A,11,11,1
CACNA2D4,6,16,0.0284540868118418
CALCR,10,12,0.666088700391389
CASR,13,9,0.515464426715779
CASS4,10,12,0.666088700391389
CELSR3,10,12,0.666088700391389
CENPE,10,12,0.666088700391389
CEP128,10,12,0.666088700391389
CFAP54,10,12,0.666088700391389
CLCA2,11,11,1
CLCA4,4,18,0.00179779171313373
CNGB3,8,14,0.193281060499221
COBL,6,16,0.0284540868118418
CREBBP,7,15,0.0814512271603288
CTNNA3,9,13,0.387250411688789
DOPEY2,10,12,0.666088700391389
DTNA,10,12,0.666088700391389
EP400,9,13,0.387250411688789
FCRL2,9,13,0.387250411688789
FLT1,11,11,1
FREM1,12,10,0.828599964438098
FRMPD2,11,11,1
GABRA6,8,14,0.193281060499221
GUCY1A2,11,11,1
